,id,lat,lon,type
70,5882996,56.116956124999994,47.2553224,parkings
71,5882997,56.11790846666667,47.25477808333333,parkings
72,5882998,56.11767185,47.254700989999996,parkings
73,5882999,56.11737890000001,47.252931866666664,parkings
74,5883000,56.11948710714285,47.25216109285715,parkings
75,5902529,56.12864085,47.232481626923075,parkings
76,5902530,56.12792388333333,47.23175953333333,parkings
77,5962851,56.12784763076922,47.29362415384615,parkings
78,6010472,56.116629825000004,47.181813399999996,parkings
79,6123954,56.14572988333333,47.2346431,parkings
80,6150018,56.13338996428571,47.23590506428572,parkings
81,6152000,56.12670833333334,47.2578623,parkings
82,6166135,56.100730032142856,47.26565257857143,parkings
83,6214840,56.1143119,47.257765799999994,parkings
84,6340141,56.15015184999999,47.18891323333333,parkings
85,6365941,56.11210382857143,47.259168342857144,parkings
